"FurnisherName","Address","City","State","Zip","PhoneNumber","vextension","AccountCardType","vnote"
"700 CREDIT/VALLEY HI K",null,null,null,null,null,null,null,null
"700 CREDIT/VICTORY AUT",null,null,null,null,null,null,null,null
"700 CREDIT/VOLKSWAGEN",null,null,null,null,null,null,null,null
"700 CREDIT/WESTBORN CH",null,null,null,null,null,null,null,null
"700 CREDIT/WILLIAMS TO",null,null,null,null,null,null,null,null
"700 CREDIT/WILLIS NISS",null,null,null,null,null,null,null,null
"700 CREDIT/WOOD CITY M",null,null,null,null,null,null,null,null
"700 CREDIT/YEMM CHEVRO",null,null,null,null,null,null,null,null
"700/A CRIVELLI CHEVROL",null,null,null,null,null,null,null,null
"700/ABC NISSAN",null,null,null,null,null,null,null,null
"700/ADVANTAGE BMW MIDT",null,null,null,null,null,null,null,null
"700/AIRPORT CHEVROLET",null,null,null,null,null,null,null,null
"700/ALL-STAR HYUNDAI O",null,null,null,null,null,null,null,null
"700/ALLSTAR CHEVROLET",null,null,null,null,null,null,null,null
"700/ARROWHEAD HONDA",null,null,null,null,null,null,null,null
"700/AUDI WEST COVINA",null,null,null,null,null,null,null,null
"700/AUFFENBERG CHRYSLE",null,null,null,null,null,null,null,null
"700/BERT SMITH INTERNA",null,null,null,null,null,null,null,null
"700/BLUEBONNET MOTORS",null,null,null,null,null,null,null,null
"700/BRUNSWICK AUTO MAL",null,null,null,null,null,null,null,null
"700/BUICK GMC OF NORTH",null,null,null,null,null,null,null,null
"700/CAMELBACK KIA",null,null,null,null,null,null,null,null
"700/CLAY COOLEY NISSAN",null,null,null,null,null,null,null,null
"700/COLONIAL IMPORTS H",null,null,null,null,null,null,null,null
"700/CORWIN FORD",null,null,null,null,null,null,null,null
"700/COURTESY CDJR OF S",null,null,null,null,null,null,null,null
"700/CUMBERLAND TOYOTA",null,null,null,null,null,null,null,null
"700/CURRY HONDA",null,null,null,null,null,null,null,null
"700/CUTTER CHEVROLET",null,null,null,null,null,null,null,null
"700/DELRAY MAZDA",null,null,null,null,null,null,null,null
"700/DIFFEE FORD LIN ME",null,null,null,null,null,null,null,null
"700/DONS FORD",null,null,null,null,null,null,null,null
"700/FRANK FLETCHER SUB",null,null,null,null,null,null,null,null
"700/FRONTIER TOYOTA",null,null,null,null,null,null,null,null
"700/GRIECO FORD OF FOR",null,null,null,null,null,null,null,null
"700/GWINNETT PLACE FOR",null,null,null,null,null,null,null,null
"700/HELLO KIA",null,null,null,null,null,null,null,null
"700/HONOLULU FORD",null,null,null,null,null,null,null,null
"700/HUNTINGTON VOLVO L",null,null,null,null,null,null,null,null
"700/HYUNDAI OF NORTH M",null,null,null,null,null,null,null,null
"700/HYUNDAI OF ORANGE",null,null,null,null,null,null,null,null
"700/IRA LEXUS OF MANCH",null,null,null,null,null,null,null,null
"700/IRA TOYOTA",null,null,null,null,null,null,null,null
"700/IRA VOLKSWAGEN SAC",null,null,null,null,null,null,null,null
"700/JACK DANIELS KIA",null,null,null,null,null,null,null,null
"700/JIM ELLIS BUICK GM",null,null,null,null,null,null,null,null
"700/JOE MYERS FORD LIN",null,null,null,null,null,null,null,null
"700/JOHN EAGLE SPORT C",null,null,null,null,null,null,null,null
"700/KARL MALONE FORD",null,null,null,null,null,null,null,null
"700/KEN GANLEY KIA",null,null,null,null,null,null,null,null
